ID, STAR, PERIOD, V_INTMEAN, BV_INTMEAN, EBV, V_AMPL, MV
1.0, U Aql, 7.023958, 6.446, 1.024, 0.399, 0.757, -3.66
2.0, SZ Aql, 17.140849, 8.599, 1.389, 0.641, 1.163, -4.78
3.0, TT Aql, 13.754707, 7.141, 1.292, 0.495, 1.082, -4.51
4.0, FF Aql, 4.470916, 5.372, 0.756, 0.224, 0.321, -3.55
5.0, FM Aql, 6.114230, 8.270, 1.277, 0.646, 0.724, -3.48
6.0, FN Aql, 9.481603, 8.382, 1.214, 0.510, 0.564, -4.04
7.0, IU Aql, 22.000000, nan, nan, nan, nan, -5.10
8.0, V336 Aql, 7.303976, 9.848, 1.312, 0.644, 0.742, -3.71
9.0, V493 Aql, 2.987751, 11.083, 1.280, 0.684, 0.494, -2.58
10.0, V496 Aql, 6.807055, 7.751, 1.146, 0.413, 0.349, -3.62
11.0, V526 Aql, 4.211200, 12.708, 1.509, 0.983, 1.188, -3.02
12.0, V600 Aql, 7.238748, 10.037, 1.462, 0.869, 0.677, -3.70
13.0, V800 Aql, 20.065000, nan, nan, nan, nan, -4.98
14.0, V912 Aql, 4.400340, nan, nan, nan, nan, -3.07
15.0, V916 Aql, 13.441550, 10.785, 1.781, 1.089, 0.942, -4.48
16.0, V1162Aql, 5.376100, 7.798, 1.366, 0.205, 0.267, -3.32
17.0, V1183Aql 3.288265, nan, nan, nan, nan, -2.70
18.0, V1344Aql, 7.478030, 7.767, 1.366, 0.574, 0.267, -3.74
19.0, V1359Aql, 7.780000, 9.059, 1.350, 0.694, 0.057, -3.79
20.0, Eta Aql, 7.176735, 3.897, 0.789, 0.149, 0.799, -3.69
21.0, V340 Ara, 20.809000, 10.164, 1.539, 0.574, 1.146, -5.03
22.0, V475 Ara, 1.501200, nan, nan, nan, nan, -1.72
23.0, Y Aur, 3.859502, 9.607, 0.911, 0.394, 0.820, -2.91
24.0, RT Aur, 3.728190, 5.446, 0.595, 0.051, 0.803, -2.86
25.0, RX Aur, 11.623537, 7.655, 1.009, 0.276, 0.664, -4.29
26.0, SY Aur, 10.144698, 9.074, 1.000, 0.454, 0.638, -4.12
27.0, YZ Aur, 18.193212, 10.332, 1.375, 0.565, 0.834, -4.86
28.0, AN Aur, 10.290560, 10.455, 1.218, 0.593, 0.717, -4.14
29.0, AO Aur, 6.763006, 10.860, 1.060, 0.453, 0.957, -3.61
30.0, AS Aur, 3.175023, nan, nan, nan, nan, -2.66
31.0, AX Aur, 3.046640, 12.412, 1.155, 0.598, 0.758, -2.61
32.0, BK Aur, 8.002432, 9.427, 1.062, 0.446, 0.730, -3.82
33.0, CO Aur, 1.783010, 7.706, 0.675, 0.228, 0.418, -1.93
34.0, CY Aur, 13.847650, 11.851, 1.600, 0.807, 0.903, -4.52
35.0, ER Aur, 15.690730, 11.520, 1.124, 0.519, 0.591, -4.67
36.0, EV Aur, 4.872280, nan, nan, nan, nan, -3.20
37.0, EW Aur, 2.659560, 13.513, 1.149, 0.634, 0.745, -2.44
38.0, FF Aur, 2.120530, 13.698, 0.972, 0.621, 1.057, -2.15
39.0, GV Aur, 5.259800, 12.076, 1.193, 0.581, 0.753, -3.30
40.0, IN Aur, 4.911100, 13.814, 1.455, 0.948, 0.579, -3.21
41.0, V335 Aur, 3.413250, 12.461, 1.137, 0.658, 0.943, -2.75
42.0, RW Cam, 16.414812, 8.691, 1.351, 0.649, 0.888, -4.73
43.0, RX Cam, 7.912024, 7.682, 1.193, 0.569, 0.729, -3.81
44.0, TV Cam, 5.294970, 11.659, 1.198, 0.644, 0.960, -3.30
45.0, AB Cam, 5.787640, 11.849, 1.235, 0.689, 1.030, -3.42
46.0, AC Cam, 4.156769, 12.597, 1.559, 0.962, 0.649, -3.00
47.0, AD Cam, 11.260991, 12.564, 1.588, 0.908, 1.092, -4.25
48.0, AM Cam, 3.997197, 13.504, 1.541, 1.034, 0.616, -2.95
49.0, RW CMa, 5.729685, 11.096, 1.225, 0.544, 0.657, -3.40
50.0, RY CMa, 4.678250, 8.110, 0.847, 0.248, 0.726, -3.15
51.0, RZ CMa, 4.254832, 9.697, 1.004, 0.464, 0.611, -3.03
52.0, SS CMa, 12.361000, 9.915, 1.212, 0.549, 0.982, -4.37
53.0, TV CMa, 4.670010, 10.582, 1.175, 0.583, 0.766, -3.15
54.0, TW CMa, 6.995070, 9.561, 0.970, 0.357, 0.635, -3.65
55.0, VV CMa, 3.862700, nan, nan, nan, nan, -2.91
56.0, VZ CMa, 3.126230, 9.383, 0.957, 0.484, 0.455, -2.64
57.0, AO CMa, 5.815420, 12.603, 1.316, 0.738, 0.770, -3.42
58.0, BC CMa, 4.175400, 12.990, 1.073, 0.569, 0.815, -3.00
59.0, CP CMa, 4.845690, 13.277, 1.170, 0.645, 0.727, -3.19
60.0, DZ CMa, 1.754340, nan, nan, nan, nan, -1.91
61.0, U Car, 38.768100, 6.288, 1.183, 0.283, 1.165, -5.81
62.0, V Car, 6.696672, 7.362, 0.872, 0.174, 0.601, -3.60
63.0, Y Car, 3.639760, 8.084, 0.585, 0.178, 0.795, -2.83
64.0, SX Car, 4.860000, 9.089, 0.887, 0.326, 0.785, -3.20
65.0, UW Car, 5.345773, 9.426, 0.971, 0.457, 0.810, -3.32
66.0, UX Car, 3.682246, 8.308, 0.627, 0.123, 0.780, -2.85
67.0, UY Car, 5.543726, 8.967, 0.818, 0.189, 0.735, -3.36
68.0, UZ Car, 5.204660, 9.323, 0.875, 0.187, 0.588, -3.28
69.0, VY Car, 18.913762, 7.443, 1.171, 0.243, 1.065, -4.91
70.0, WW Car, 4.676810, 9.743, 0.890, 0.398, 0.720, -3.15
71.0, WZ Car, 23.013200, 9.247, 1.142, 0.384, 1.221, -5.16
72.0, XX Car, 15.716240, 9.322, 1.054, 0.349, 1.301, -4.67
73.0, XY Car, 12.434830, 9.295, 1.214, 0.417, 0.898, -4.38
74.0, XZ Car, 16.649900, 8.601, 1.266, 0.367, 1.045, -4.75
75.0, YZ Car, 18.165573, 8.714, 1.124, 0.396, 0.788, -4.86
76.0, AQ Car, 9.768960, 8.851, 0.928, 0.161, 0.632, -4.08
77.0, CC Car, 4.759950, 12.035, 1.195, 0.526, 0.636, -3.17
78.0, CF Car, 5.494900, nan, nan, nan, nan, -3.35
79.0, CN Car, 4.932610, 10.700, 1.089, 0.419, 0.675 -3.21
80.0, CQ Car, 5.318934, nan, nan, nan, nan, -3.31
81.0, CR Car, 9.760940, 11.565, 1.246, 0.504, 0.639, -4.07
82.0, CS Car, 6.662340, nan, nan, nan, nan, -3.59
82.1, CT Car, 18.062100, 12.246, 1.331, 0.582, 1.051, -4.85
83.0, CY Car, 4.265930, 9.782, 0.953, 0.389, 0.511, -3.03
84.0, DY Car, 4.674610, 11.314, 1.003, 0.391, 0.768, -3.15
85.0, ER Car, 7.718550, 6.824, 0.867, 0.101, 0.470, -3.78
86.0, ET Car, 2.910837, nan, nan, nan, nan, -2.55
87.0, EW Car, 4.238730, nan, nan, nan, nan, -3.02
88.0, EY Car, 2.875980, 10.318, 0.854, 0.466, -2.53
89.0, FF Car, 16.328500, nan, nan, nan, nan, -4.72
90.0, FH Car, 5.664390, nan, nan, nan, nan, -3.39
91.0, FI Car, 13.458200, 11.610, 1.514, 0.726, 0.792, -4.48
92.0, FK Car, 23.254000, nan, nan, nan, nan, -5.17
93.0, FM Car, 7.638610, nan, nan, nan, nan, -3.77
94.0, FN Car, 4.585690, 11.542, 1.101, 0.581, 0.708, -3.12
95.0, FO Car, 10.356800, 10.731, 1.220, 0.461, 0.600, -4.15
96.0, FQ Car, 10.273990, 11.818, 1.497, 0.868, 0.838, -4.14
97.0, FR Car, 10.716970, 9.661, 1.121, 0.351, 0.704, -4.19
98.0, FZ Car, 3.577920, 11.968, 1.200, 0.654, 0.355, -3.26
99.0, GH Car, 5.725570, 9.177, 0.932, 0.414, 0.307, -3.86
100.0, GI Car, 4.430610, 8.323, 0.739, 0.175, 0.338, -3.53
101.0, GS Car, 4.055150, nan, nan, nan, nan, -2.97
102.0, GT Car, 13.162000, nan, nan, nan, nan, -4.45
103.0, GX Car, 7.196730, 9.364, 1.043, 0.405, 0.853, -3.69
104.0, GZ Car, 4.159010, 10.261, 0.979, 0.419, 0.513, -3.00
105.0, HK Car, 6.695740, nan, nan, nan, nan, -3.60
106.0, HS Car, 5.092090, nan, nan, nan, nan, -3.25
107.0, HW Car, 9.200200, 9.163, 1.055, 0.193, 0.366, -4.00
108.0, II Car, 64.240000, nan, nan, nan, nan, -6.45
109.0, IK Car, 5.101790, nan, nan, nan, nan, -3.26
110.0, IM Car, 5.336250, nan, nan, nan, nan, -3.31
111.0, IO Car, 12.690000, 11.101, 1.221, 0.527, 0.386, -4.49
112.0, IP Car, 7.122500, nan, nan, nan, nan, -3.68
113.0, IT Car, 7.533200, 8.097, 0.990, 0.193, 0.338, -3.75
113.5, V397 Car, 2.063500, 8.320, 0.754, 0.279, 0.215, -2.55
114.0, l Car, 35.551341, 3.724, 1.299, 0.170, 0.725, -5.70
115.0, RS Cas, 6.295983, 9.932, 1.490, 0.875, 0.750, -3.52
116.0, RW Cas, 14.791548, 9.117, 1.096, 0.420, 1.190, -4.60
117.0, RY Cas, 12.138880, 9.927, 1.384, 0.649, 0.900, -4.35
118.0, SU Cas, 1.949322, 5.970, 0.703, 0.287, 0.414, -2.04
119.0, SW Cas, 5.440950, 9.705, 1.081, 0.494, 0.662, -3.34
120.0, SY Cas, 4.071098, 9.868, 0.992, 0.464, 0.810, -2.97
121.0, SZ Cas, 13.637747, 9.853, 1.419, 0.819, 0.416, -4.50
122.0, TU Cas, 2.139298, 7.733, 0.582, 0.115, 0.553, -2.16
123.0, UZ Cas, 4.259459, 11.338, 1.110, 0.520, 0.720, -3.03
124.0, VV Cas, 6.207059, 10.724, 1.143, 0.553, 0.880, -3.50
125.0, VW Cas, 5.993859, 10.697, 1.245, 0.475, 0.700, -3.46
126.0, XY Cas, 4.501697, 9.935, 1.147, 0.560, 0.580, -3.10
127.0, AP Cas, 6.847000, 11.543, 1.459, 0.834, 0.650, -3.63
128.0, AS Cas, 3.021250, 12.248, 1.342, 0.867, 0.306, -2.60
129.0, AW Cas, 4.278330, 12.071, 1.446, 0.915, 0.772, -3.03
130.0, AY Cas, 2.871294, 11.537, 1.270, 0.775, 0.720, -2.53
130.3, BD Cas, 3.650900, 11.000, 1.565, nan, 0.323, -3.28
131.0, BF Cas, 3.630270, 12.470, 1.271, 0.778, 0.866, -2.83
132.0, BP Cas, 6.272724, 10.920, 1.550, 0.948, 0.790, -3.52
133.0, BV Cas, 5.399640, 12.397, 1.542, 1.040, 0.861, -3.33
134.0, BY Cas, 3.223300, 10.366, 1.309, 0.796, 0.373, -3.12
135.0, CD Cas, 7.800890, 10.738, 1.449, 0.818, 0.790, -3.79
136.0, CE Cas A, 5.140900, 10.922, 1.171, 0.584, 0.550, -3.27
137.0, CE Cas B, 4.479300, 11.062, 1.042, 0.554, 0.697, -3.09
138.0, CF Cas, 4.875220, 11.136, 1.174, 0.566, 0.603, -3.20
139.0, CG Cas, 4.365664, 11.335, 1.250, 0.691, 0.833, -3.06
140.0, CH Cas, 15.086190, 10.973, 1.650, 0.939, 1.103, -4.62
141.0, CT Cas, 3.810610, 12.257, 1.322, 0.793, 0.616, -2.89
142.0, CY Cas, 14.376860, 11.641, 1.738, 1.012, 1.150, -4.56
143.0, CZ Cas, 5.664380, 11.713, 1.424, 0.861, 0.820, -3.39
144.0, DD Cas, 9.812027, 9.876, 1.188, 0.501, 0.589, -4.08
145.0, DF Cas, 3.832472, 10.848, 1.181, 0.599, 0.600, -2.90
146.0, DL Cas, 8.000669, 8.969, 1.154, 0.533, 0.571, -3.82
147.0, DT Cas, 4.789960, nan, nan, nan, nan, -3.18
148.0, DW Cas, 4.997760, 11.112, 1.475, 0.884, 0.593, -3.23
149.0, EX Cas, 4.305300, 12.804, 1.468, 0.788, 0.634, -3.04
150.0, FM Cas, 5.809284, 9.127, 0.989, 0.351, 0.576, -3.42
151.0, FO Cas, 6.798800, 14.297, 1.357, 0.803, 0.855, -3.62
152.0, FW Cas, 6.237050, 12.443, 1.480, 0.912, 0.503, -3.51
153.0, GL Cas, 4.007890, 12.744, 1.268, 0.741, 0.799, -2.95
154.0, GM Cas, 7.468900, nan, nan, nan, nan, -3.74
155.0, GO Cas, 3.239040, 13.215, 1.630, 1.106, 0.547, -2.68
156.0, IO Cas, 5.603920, 13.673, 1.164, 0.614, 0.815, -3.38
157.0, KK Cas, 8.191650, 11.921, 1.624, 0.992, 0.585, -3.85
158.0, LT Cas, 5.904880, 12.528, 1.244, 0.720, 1.046, -3.44
159.0, NP Cas, 6.170600, 13.582, 1.755, 1.179, 0.649, -3.50
160.0, NY Cas, 2.823092, 13.330, 0.834, 0.349, 0.449, -2.95
161.0, OP Cas, 5.512800, 11.909, 1.617, 1.014, 0.612, -3.35
162.0, OZ Cas, 5.080000, 13.472, 2.168, 1.629, 0.661, -3.25
163.0, PW Cas, 3.999927, 13.078, 1.305, 0.725, 0.563, -2.95
164.0, V342 Cas, 3.919890, 12.034, 1.287, 0.725, 0.504, -2.92
165.0, V379 Cas, 4.305750, 9.053, nan, nan, 0.349, -3.50
166.0, V395 Cas, 4.037771, 10.717, 1.146, 0.601, 0.560, -2.96
167.0, V407 Cas, 4.584553, 11.996, 1.340, 0.759, 0.461, -3.12
168.0, V636 Cas, 8.377000, 7.199, 1.365, 0.700, 0.188, -3.88
169.0, V Cen, 5.493861, 6.836, 0.875, 0.289, 0.804, -3.35
170.0, TX Cen, 17.093600, 10.532, 1.691, 1.058, 1.157, -4.78
171.0, UZ Cen, 3.334340, 8.765, 0.740, 0.275, 0.802, -2.72
172.0, VW Cen, 15.036180, 10.245, 1.345, 0.448, 1.074, -4.62
173.0, XX Cen, 10.953370, 7.818, 0.983, 0.260, 0.924, -4.22
174.0, AY Cen, 5.309750, 8.830, 1.009, 0.310, 0.580, -3.31
175.0, AZ Cen, 3.211981, 8.636, 0.653, 0.160, 0.382, -3.12
176.0, BB Cen, 3.997660, 10.073, 0.953, 0.396, 0.440, -3.40
177.0, BK Cen, 3.173887, 10.008, 0.886, 0.330, 0.632, -2.66
178.0, IU Cen, 3.319260, nan, nan, nan, nan, -2.72
179.0, IZ Cen, 5.892300, nan, nan, nan, nan, -3.44
180.0, KK Cen, 12.180300, 11.480, 1.282, 0.642, 1.010, -4.35
181.0, KN Cen, 34.029641, 9.870, 1.582, 0.788, 1.097, -5.65
182.0, LV Cen, 4.975130, nan, nan, nan, nan, -3.23
183.0, MY Cen, 3.718610, 12.080, 1.636, 1.253, 0.776, -2.86
184.0, MZ Cen, 10.353000, 11.531, 1.570, 0.913, 0.746, -4.15
185.0, OO Cen, 12.880500, 12.042, 1.844, 1.197, 0.765, -4.42
186.0, QY Cen, 17.752400, 11.762, 2.150, 1.520, 1.013, -4.83
187.0, V339 Cen, 9.466000, 8.753, 1.191, 0.428, 0.603, -4.04
188.0, V378 Cen, 6.459300, 8.460, 1.035, 0.395, 0.378, -4.02
189.0, V381 Cen, 5.078780, 7.653, 0.792, 0.205, 0.720, -3.25
190.0, V419 Cen, 5.506910, 8.186, 0.758, 0.176, 0.330, -3.81
191.0, V496 Cen, 4.424190, 9.966, 1.172, 0.568, 0.593, -3.08
191.5, V553 Cen, 2.060510, 8.457, 0.691, 0.218, 0.482, -2.11
192.0, V641 Cen, 81.000000, 10.443, 1.932, 0.978, 0.673, -6.74
193.0, V659 Cen, 5.621800, 6.598, 0.758, 0.134, 0.240, -3.38
194.0, V686 Cen, 69.300000, nan, nan, nan, nan, -6.54
195.0, V737 Cen, 7.065850, 6.719, 0.999, 0.216, 0.317, -3.67
196.0, V782 Cen 11.578000, nan, nan, nan, nan, -4.29
197.0, AK Cep, 7.232680, 11.180, 1.341, 0.704, 0.610, -3.70
198.0, CN Cep, 9.502500, 12.376, 1.853, 1.170, 0.590, -4.04
199.0, CP Cep, 17.859000, 10.590, 1.668, 0.682, 0.740, -4.84
200.0, CR Cep, 6.232964, 9.656, 1.396, 0.758, 0.364, -3.51
201.0, IR Cep, 2.114124, 7.784, 0.888, 0.434, 0.372, -2.15
202.0, IY Cep, 5.656906, 12.839, 1.507, 0.908, 0.676, -3.39
203.0, KO Cep, 4.558090, 14.127, 1.928, 1.357, 0.572, -3.11
204.0, MU Cep, 3.767820, 12.244, 1.349, 0.833, 0.690, -2.87
205.0, Del Cep, 5.366270, 3.954, 0.657, 0.092, 0.838, -3.32
206.0, AV Cir, 3.065100, 7.439, 0.910, 0.397, 0.315, -2.61
207.0, AX Cir, 5.273306, 5.880, 0.741, 0.153, 0.420, -3.30
208.0, BP Cir, 2.398400, 7.560, 0.702, 0.235, 0.337, -2.31
209.0, R Cru, 5.825750, 6.766, 0.772, 0.192, 0.794, -3.42
210.0, S Cru, 4.689596, 6.600, 0.761, 0.163, 0.690, -3.15
211.0, T Cru, 6.733200, 6.566, 0.922, 0.193, 0.498, -3.61
212.0, X Cru, 6.219970, 8.404, 1.001, 0.286, 0.591, -3.51
213.0, SU Cru, 12.847600, 9.796, 1.752, 1.000, 0.651, -4.42
214.0, SV Cru, 7.004270, 12.104, 1.345, 0.845, 0.797, -3.66
215.0, TY Cru, 4.988510, nan, nan, nan, nan, -3.23
216.0, VV Cru, 6.121150, nan, nan, nan, nan, -3.49
217.0, VW Cru, 5.265220, 9.622, 1.309, 0.675, 0.615, -3.30
218.0, VX Cru, 12.212600, 11.995, 1.575, 0.957, 0.948, -4.36
219.0, AD Cru, 6.397890, 11.051, 1.279, 0.680, 0.760, -3.54
221.0, AG Cru, 3.837254, 8.225, 0.738, 0.211, 0.852, -2.90
222.0, BG Cru, 3.342720, 5.487, 0.606, 0.053, 0.246, -3.17
224.0, X Cyg, 16.386332, 6.391, 1.130, 0.288, 0.986, -4.73
225.0, SU Cyg, 3.845492, 6.859, 0.575, 0.096, 0.766, -2.90
226.0, SZ Cyg, 15.109642, 9.432, 1.477, 0.631, 0.879, -4.63
227.0, TX Cyg, 14.708157, 9.511, 1.784, 1.181, 1.221, -4.59
228.0, VX Cyg, 20.133407, 10.069, 1.704, 0.791, 1.043, -4.99
229.0, VY Cyg, 7.856982, 9.593, 1.215, 0.652, 0.810, -3.80
230.0, VZ Cyg, 4.864453, 8.959, 0.876, 0.289, 0.674, -3.20
231.0, BZ Cyg, 10.141932, 10.213, 1.573, 0.933, 0.547, -4.12
232.0, CD Cyg, 17.073967, 8.947, 1.266, 0.514, 1.225, -4.78
233.0, DT Cyg, 2.499082, 5.774, 0.538, 0.039, 0.288, -2.80
234.0, EP Cyg, 4.318600, 12.739, 1.207, 0.686, 0.859, -3.05
235.0, EX Cyg, 4.850793, 12.980, 1.667, 1.078, 0.739, -3.19
236.0, EZ Cyg, 11.659717, 11.088, 1.434, 0.824, 0.925, -4.30
237.0, GH Cyg, 7.817930, 9.924, 1.266, 0.662, 0.806, -3.79
238.0, GI Cyg, 5.782550, 11.751, 1.456, 0.781, 0.674, -3.41
239.0, IY Cyg, 21.752570, 13.097, 1.892, 1.198, 1.419, -5.08
240.0, KX Cyg, 20.046700, 11.935, 2.364, 1.764, 1.158, -4.98
241.0, MW Cyg, 5.954586, 9.489, 1.316, 0.680,  0.719, -3.45
242.0, V347 Cyg, 8.736200, 12.480, 1.712, 1.100, 0.683, -3.93
243.0, V356 Cyg, 5.057610, 12.443, 1.402, 0.778, 0.757, -3.25
244.0, V386 Cyg, 5.257606, 9.635, 1.491, 0.895, 0.685, -3.29
245.0, V396 Cyg, 33.247000, 11.415, 2.270, 1.148, 0.878, -5.62
246.0, V402 Cyg, 4.364836, 9.873, 1.008, 0.417, 0.557, -3.06
247.0, V438 Cyg, 11.211058, 10.937, 1.946, 1.130, 1.029, -4.25
248.0, V459 Cyg, 7.251250, 10.601, 1.439, 0.798, 0.705, -3.70
249.0, V492 Cyg, 7.580170, 12.389, 1.651, 1.065, 0.534, -3.76
250.0, V495 Cyg, 6.716310, 10.621, 1.623, 1.027, 0.449, -3.60
